other_mhotel_id,other_mhotel_name
342277,北京中奥华美达酒店
1457375,昆泰酒店
2723809,汉庭(北京首都机场店)
370568,维也纳国际酒店(北京首体店)
6250364,锦江之星品尚(北京东直门使馆区店)
5376749,锦江之星(北京丰台东大街地铁站店)
6958654,青龙峡聚福家园农家院
2549067,鸿炜亿家连锁酒店(亚运村店)
2390230,锦江之星(北京珠市口店)
328353,爱特家酒店公寓(健翔桥店)
5860914,99旅馆连锁(北京通州武夷花园荔景园店)
327894,田园之家
1558033,人和嘉德商务酒店
352690,欣燕都连锁酒店(西安门店)
356797,北京丽苑公寓
2468936,银奥宾馆
4672722,龙庆峡汇友农家院
6537421,商旅智选永利国际公寓(工体北路店)
1663922,龙庆峡老马庄园农家院
6217634,圣吉祥快捷酒店
4934747,京安之家快捷酒店(首都机场新国展店)
283240,西单饭店(西单北大街店)
2394785,北京友谊宾馆
5970557,中裕世纪大酒店
5274323,滨江宾馆
1418238,京仪大酒店
1505338,楚源商务酒店
4555269,莫泰酒店(北京立水桥地铁站店)
276391,锦江之星(北京长椿街店)
6215295,广州大厦
5103711,北汽采育国际会议中心
2485122,北京实华饭店
5908745,北辰五洲皇冠国际酒店
5217339,Zsmart智尚酒店北京王府井中心店
290315,北京如意商务酒店
4237136,丽豪酒店(首都机场国展店)
1169279,旅居酒店(北京和平里店)
294622,如家酒店(北京西直门展览馆店)
328024,宝林轩国际大酒店
289427,青龙峡玉环农家院
2420438,馨香雅苑酒店式公寓(王府井店)
2434363,壹家壹快捷酒店(北京南站店)
2537738,汉庭(北京站店)
296609,北京国际竹藤大厦
4399297,北京源馨德润酒店(旧宫店)
280658,欣燕都连锁酒店(前门店)
287462,和家宾馆(西直门人民医院店)(原华谊宾馆)
1520123,金鼎弘泰大酒店
2436181,合美汇通国际酒店
284300,新红资红色主题四合院酒店
1421151,蓝孔雀酒店(西三旗店)
2521732,驰道宾馆(欣荣店)
6912137,珍妮家风格家庭公寓(阜通东大街店)
4531947,顺合宏鑫宾馆
2421397,99优选酒店(北京雅宝路儿研所店)
2502047,百分百酒店公寓(中关村店)
329179,博大永康商务酒店
2411622,北京西苑饭店
40445991,古北口司马台朋乐斋民俗院
4673032,千悦快捷酒店(北京首都机场新国展店)
280637,欣燕都连锁酒店（建国门店）
4706729,如家酒店(北京西三旗桥店)
4262052,逸和商务快捷酒店(沙河店)
2480728,军展宾馆
2733230,如家酒店(北京总部基地世界公园郭公庄地铁站店)
4199,飘HOME连锁酒店(王府井店)
5845655,华秀缘宾馆
4501248,顺天通达宾馆
360644,如家酒店(北京总部基地店)
370154,如家酒店(北京亚运村小营关庄地铁站店 )
2515358,齐鲁商旅酒店
307392,日坛宾馆
331524,地大国际会议中心
336125,北京金融街丽思卡尔顿酒店
332775,万方苑国际酒店
295765,北京王府井希尔顿酒店
4723936,安馨居宾馆
3308499,昌缘快捷酒店
1563852,99旅馆连锁(北京草桥地铁站店)
2464798,腾飞宾馆
42089892,桃源仙谷路友缘鑫居农家院
2472259,金康福商务酒店(世界公园总部基地店)
2452001,懋麟阁酒店
6884681,北京司马台金艳客栈
6531745,北京福永御龙酒店
297418,速8酒店(北京方庄地铁站店)
1220331,北京161酒店(北海四合院店)
1035726,速8酒店(北京十八里店南桥店)
328416,北京卫生局宾馆
355838,汉庭(北京上地环岛店)
4194,飘HOME连锁酒店(前门大栅栏店)
1686731,桃源仙谷玉春农家院
5707410,祥瑞连锁酒店(沙河大学城店)
2477210,青年路宾馆
364520,四季御园国际大酒店
265583,北京希尔顿酒店
280632,锦江之星(北京马家堡店)
1175465,锦江之星(北京动物园店)
1545166,锦江之星(北京王府井店)
